,GAN family (HealthGAN → PATE-GAN),GAN family (HealthGAN → PATE-GAN),GAN family (HealthGAN → PATE-GAN),GAN family (HealthGAN → PATE-GAN),LLM family (Pythia-1B → Pythia-1B-DP),LLM family (Pythia-1B → Pythia-1B-DP),LLM family (Pythia-1B → Pythia-1B-DP),LLM family (Pythia-1B → Pythia-1B-DP)
,non-DP,DP,Δ (DP−non-DP),reads as,non-DP,DP,Δ (DP−non-DP),reads as
AUC-ROC ↑,0.6311881675349896,0.5107636295003182,-0.12042453803467146,cost,0.6817930649479804,0.5827103108377629,-0.0990827541102175,cost
F1 ↑,0.3823568136932192,0.009324954388810055,-0.3730318593044092,cost,0.5035912999494183,0.271406404288334,-0.2321848956610843,cost
Feature Imp Agree ↑,0.9137149355937803,0.6747883957274506,-0.2389265398663296,cost,0.9114473423891531,0.856341647138245,-0.05510569525090814,cost
Mean KS Stat ↓,0.04801272415842276,0.5380950716358134,0.4900823474773906,cost,0.0805081007479022,0.09916820225485938,0.018660101506957183,cost
Mean Corr Diff ↓,0.03359744591744758,0.11418018132492473,0.08058273540747715,cost,0.020629343327769674,0.04662520704715047,0.0259958637193808,cost
Cox CI Overlap ↑,0.5833333333333334,0.0,-0.5833333333333334,cost,0.5384615384615384,0.5384615384615384,0.0,=
NNDR Mem-Risk ↓,0.0,0.0,0.0,=,0.3022456090109462,0.23678286251577063,-0.06546274649517558,gain
MIA |AUC−0.5| ↓,0.0005173600000000222,0.0016057199999999772,0.001088359999999955,~,0.007403280000000012,0.006902919999999979,-0.000500360000000033,~
NNAA +PLoss ↓,0.0017000000000000348,0.0,-0.0017000000000000348,~,0.0,0.007600000000000051,0.007600000000000051,~
Max Attr Inf Adv ↓,-0.0040000000000000036,-0.026600000000000013,-0.02260000000000001,gain,0.04099999999999998,-0.005600000000000049,-0.04660000000000003,gain
Outlier Link Frac ↓,0.0,0.0,0.0,~,0.006,0.0,-0.006,~
